household_ingredient_id,household_id,ingredient_id,quantity,unit,expiration_date,is_expired
140,4,140,0.9,kg,2022-09-13,TRUE
141,5,141,460,g,2023-03-21,FALSE
142,5,142,1.7,kg,2023-05-14,FALSE
143,5,143,1.5,l,2022-12-07,FALSE
144,5,144,0.6,kg,2023-06-15,FALSE
145,5,145,500,g,2023-01-12,FALSE
146,5,146,1.2,kg,2023-07-30,FALSE
147,5,147,290,g,2023-02-01,FALSE
148,5,148,1.0,l,2023-12-21,FALSE
149,5,149,80,unit,2023-04-09,FALSE
150,5,150,0.7,kg,2022-08-29,TRUE
151,6,151,520,g,2022-12-20,FALSE
152,6,152,1.4,kg,2023-01-05,FALSE
153,6,153,1.9,l,2023-09-15,FALSE
154,6,154,0.8,kg,2022-11-27,FALSE
155,6,155,480,g,2023-04-28,FALSE
156,6,156,1.1,kg,2023-08-01,FALSE
157,6,157,310,g,2023-09-22,FALSE
158,6,158,1.3,l,2023-12-27,FALSE
159,6,159,85,unit,2023-05-11,FALSE
160,6,160,0.9,kg,2022-09-18,TRUE
161,7,161,470,g,2023-03-09,FALSE
162,7,162,1.3,kg,2023-07-18,FALSE
163,7,163,1.8,l,2022-12-29,FALSE
164,7,164,0.5,kg,2023-06-30,FALSE
165,7,165,520,g,2023-01-15,FALSE
166,7,166,1.5,kg,2023-08-17,FALSE
167,7,167,280,g,2023-02-27,FALSE
168,7,168,1.2,l,2023-11-28,FALSE
169,7,169,90,unit,2023-03-05,FALSE
170,7,170,0.6,kg,2022-09-08,TRUE
171,8,171,600,g,2022-12-15,FALSE
172,8,172,1.6,kg,2023-01-09,FALSE
173,8,173,1.9,l,2023-10-14,FALSE
174,8,174,0.7,kg,2022-10-30,FALSE
175,8,175,540,g,2023-03-19,FALSE
176,8,176,1.3,kg,2023-07-05,FALSE
177,8,177,270,g,2023-01-25,FALSE
178,8,178,1.0,l,2023-11-30,FALSE
179,8,179,75,unit,2023-04-12,FALSE
180,8,180,0.8,kg,2022-09-12,TRUE
181,9,181,450,g,2023-02-16,FALSE
182,9,182,1.5,kg,2023-07-22,FALSE
183,9,183,1.4,l,2022-11-20,FALSE
184,9,184,0.6,kg,2023-06-03,FALSE
185,9,185,490,g,2023-03-15,FALSE
186,9,186,1.7,kg,2023-08-09,FALSE
187,9,187,320,g,2023-01-11,FALSE
188,9,188,1.2,l,2023-12-17,FALSE
189,9,189,85,unit,2023-03-23,FALSE
190,9,190,0.7,kg,2022-08-30,TRUE
191,10,191,480,g,2022-12-11,FALSE
192,10,192,1.3,kg,2023-01-02,FALSE
193,10,193,1.9,l,2023-10-05,FALSE
194,10,194,0.8,kg,2022-11-21,FALSE
195,10,195,510,g,2023-03-10,FALSE
196,10,196,1.2,kg,2023-07-16,FALSE
197,10,197,310,g,2023-02-18,FALSE
198,10,198,1.1,l,2023-12-06,FALSE
199,10,199,90,unit,2023-04-07,FALSE
200,10,200,0.9,kg,2022-09-17,TRUE
201,1,201,550,g,2023-01-20,FALSE
202,1,202,1.4,kg,2023-05-09,FALSE
203,1,203,1.7,l,2022-12-29,FALSE
204,1,204,0.7,kg,2023-06-20,FALSE
205,1,205,600,g,2023-01-08,FALSE
206,1,206,1.5,kg,2023-08-10,FALSE
207,1,207,200,g,2023-02-20,FALSE
208,1,208,1.4,l,2023-11-15,FALSE
209,1,209,80,unit,2023-03-18,FALSE
210,1,210,0.7,kg,2022-08-31,TRUE
