category_id,category_name,parent_category_id
213,Gondh (Tragacanth Gum),11
214,Gondh (Tree Gum),11
215,Haldi (Turmeric),22
216,Hing (Asafoetida),22
217,Imli (Tamarind),12
218,Jaiphal (Nutmeg),22
219,Jeera (Cumin Seeds),22
220,Jowar Flour,3
221,Jowar,3
222,Kala Chana (Black Chickpeas),19
223,Kala Jeera (Black Cumin),22
224,Kalonji (Nigella Seeds),22
225,Karela (Bitter Gourd),1
226,Kashmiri Chili Powder,22
227,Kesar (Saffron),22
228,Khajoor (Dates),18
229,Khichdi Masala,22
230,Khus Khus (Poppy Seeds),11
231,Kokum,12
232,Kulfi Mix,14
233,Kulthi Dal (Horse Gram),19
234,Kumquats,2
235,Lasooni (Garlic),22
236,Lavang (Cloves),22
237,Lobia (Black-eyed Peas),19
238,Magaz (Melon Seeds),11
239,Malai Paneer,30
240,Masoor Dal,19
241,Matki (Moth Beans),19
242,Methi (Fenugreek),1
243,Moong Dal,19
244,Moong Sprouts,19
245,Moringa Leaves,16
246,Moth Beans,19
247,Mugwort,16
248,Murgh Masala,22
249,Nachni (Finger Millet),3
250,Nachni Flour,3
251,Neem Leaves,16
252,Niger Seeds,11
253,Nutmeg Powder,22
254,Panch Phoran,22
255,Parval (Pointed Gourd),1
256,Pathar ka Phool (Stone Flower),22
257,Pine Nuts,11
258,Poha (Flattened Rice),3
259,Pudina (Mint),16
260,Puffed Rice,3
261,Quinoa Seeds,3
262,Ragi,3
263,Ragi Flour,3
264,Rajgira (Amaranth),3
265,Rajgira Flour,3
266,Rajma (Kidney Beans),19
267,Raw Mango Powder,22
268,Red Chana,19
269,Red Chili Powder,22
270,Rice Flour,3
271,Rice Vermicelli,3
272,Roasted Bengal Gram,19
273,Roasted Chana,19
274,Rock Salt,12
275,Rose Petals,18
276,Sabja Seeds (Basil Seeds),11
277,Sabudana (Tapioca Pearls),3
278,Safflower Oil,10
279,Samai Rice,3
280,Sarson (Mustard Greens),1
281,Sevai (Vermicelli),3
282,Shahi Jeera,22
283,Shallots,1
284,Shikakai,16
285,Shirmp Powder,7
286,Soak Fenugreek Seeds,19
287,Soak Moong Dal,19
288,Soy Chunks,9
289,Soy Granules,9
290,Spinach,1
291,Suva Bhaji (Dill Leaves),16
292,Tandoori Masala,22
293,Tapioca Flour,3
294,Tej Patta (Bay Leaves),16
295,Thalipeeth Bhajani,3
296,Til Seeds (Sesame Seeds),11
297,Toor Dal,19
298,Turmeric Powder,22
299,Urad Dal,19
300,Varagu Rice,20
301,Vinegar,12
302,Water Chestnut Flour,3
303,White Pepper,22
304,Whole Masoor Dal,19
305,Yam (Suran),1
306,Zucchini,1
307,Aliv Seeds,11
308,Apple Cider Vinegar,12
309,Asalio,11
310,Avarebele,19
311,Avarekalu (Hyacinth Beans),19
312,Badaam (Almond),11
313,Bajra (Pearl Millet),3
314,Bakri Atta,3
315,Banana Stem,1
316,Barnyard Millet,3
317,Bay Leaf Powder,22
318,Black Raisins,18
319,Black Rice,20
320,Black Salt,12
321,Black Sesame Seeds,11
322,Black Urad Dal,19
323,Breadfruit,1
324,Brown Basmati Rice,20
325,Brown Rice,20
326,Buttermilk,31
327,Cabbage,1
328,Cane Sugar,12
329,Carom Seeds,22
330,Chana Sattu,19
331,Chaulai (Amaranth),3
332,Chaulai Flour,3
333,Cheese,27
334,Cucumber,1
335,Dahi (Yogurt),29
336,Dalchini,22
337,Dalia (Broken Wheat),3
338,Dark Jaggery,12
339,Desiccated Coconut,11
340,Dhokla Flour,3
341,Dill Seeds,16
342,Dried Amla,18
343,Dried Fenugreek Leaves,16
344,Dry Coconut,18
345,Dry Red Chili,22
346,Drumstick Leaves,16
347,Figs,18
348,Foxtail Millet,3
349,Fried Gram,19
350,Ful Medames,19
351,Garlic,22
352,Ghee,32
353,Gond (Tragacanth Gum),11
354,Green Chili,22
355,Green Gram,19
356,Groundnut Oil,10
357,Honey,12
358,Horse Gram,19
359,Idli Rice,20
360,Indian Bay Leaf,16
361,Indian Cucumber,1
362,Indian Gooseberry,2
363,Indian Jujube,18
364,Indian Mustard,10
365,Indian Red Chili,22
366,Indian Sandalwood,16
367,Indian Spikenard,16
368,Indian Turmeric,22
369,Indrayani Rice,20
370,Ivy Gourd,1
371,Jackfruit,2
372,Jaggery,12
373,Jamun (Java Plum),2
374,Jeera Powder,22
375,Jowar,3
376,Kachri (Wild Melon),1
377,Kachumber Salad,1
378,Kaddu (Pumpkin),1
379,Kaffir Lime Leaves,16
380,Kalonji,22
381,Karonda,2
382,Kashmiri Red Chili,22
383,Kesar,22
384,Kesar Mango,2
385,Kesar Powder,22
386,Kesar Syrup,12
387,Khajur,18
388,Khajur Peeth,12
389,Khichdi,15
390,Khus,16
391,Khus Powder,22
392,Kokum,12
393,Kokum Agal,12
394,Kokum Syrup,12
395,Kulfi,14
396,Kulfi Falooda,14
397,Kulfi Mix,14
398,Lacha,15
399,Lal Mirch,22
400,Lavang,22
401,Lehsun,22
402,Lehsun Powder,22
403,Lemon Juice,12
404,Lemon Pickle,12
405,Lemon Rice,15
406,Lemon Syrup,12
407,Lemongrass,16
408,Lettuce,1
409,Long Beans,1
410,Mace,16
411,Malai,31
412,Malvani Masala,22
413,Manathakkali Vathal,22
414,Mango,2
415,Mango Pickle,12
416,Mango Powder,22
417,Mango Rice,15
418,Mango Syrup,12
419,Mango Tree Leaves,16
420,Marathi Moggu,22
421,Methi,1
422,Mint,16
423,Mixed Pickle,12
424,Mogra Rice,20
425,Moong Dal,19
426,Moti Choor Ladoo,14
427,Moti Choor Laddu,14
428,Moth Beans,19
429,Mujj Gaad,22
430,Multigrain Flour,3
431,Multigrain Rice,20
432,Murukku,15
433,Mutton Masala,22
434,Nachni (Ragi),3
435,Nachni Flour,3
436,Nalli Nihari Masala,22
437,Nan Khatai,14
438,Neem,16
439,Niger Seeds,11
440,Olive Oil,10
441,Onion Seeds,22
442,Onions,1
443,Orange,2
444,Orange Peel Powder,22
445,Palak (Spinach),1
446,Paneer,30
447,Parboiled Rice,20
448,Parsley,16
449,Peas,9
450,Pepper,22
451,Peppere,22
452,Phool Makhana,18
453,Phool Methi,22
454,Pistachio,11
455,Poha,3
456,Pomegranate,2
457,Potatoes,1
458,Prawns,7
459,Pumpkin Seeds,11
460,Pure Ghee,32
461,Quinoa,3
462,Rajgira,3
463,Rice Bran Oil,10
464,Rice Flour,3
465,Rice Bran,3
466,Roasted Chickpeas,19
467,Rock Salt,12
468,Rose Petals,18
469,Sabja,11
470,Safflower,16
471,Safflower Seeds,11
472,Sage,16
473,Saindhava Lavan,12
474,Sago,3
475,Salt,12
476,Sesame Oil,10
477,Shahi Jeera,22
478,Shallots,1
479,Shepu (Dill Leaves),16
480,Shikakai,16
481,Silk Cotton Tree Flowers,16
482,Sindhav Salt,12
483,Soaked Bengal Gram,19
484,Soaked Peas,9
485,Soaked Rajma,19
486,Soaked Toor Dal,19
487,Soan Papdi,14
488,Sorghum,3
489,Star Anise,16
490,Sunflower Oil,10
491,Sweet Lime,2
492,Tagar,12
493,Tamarind,12
494,Tandoori Masala,22
495,Tapioca,9
496,Turmeric,22
497,Urad Dal,19
498,Veggie,1
499,Wheat Bran,3
500,Yam,1
501,Yellow Moong Dal,19
502,Zinger,22
